IDCLI;Date;Région;Département;Type de ligne;Matériel;Coût par minute;Durée de communication;Coût de communication;Qualité de la communication
45;01/02/2021;Maryland;RH;VoIP;Thomson st2030;0,11;35;3,85;2
77;01/02/2021;Pays;de;VoIP;Thomson st3030;0,09;20;1,8;10
84;01/02/2021;Michigan;R&D;VoIP;Thomson st2030;0,09;5;0,45;6
5;01/02/2021;Alberta;Juridique;Mobile;Apple iPhone;0,12;70;8,4;10
65;01/02/2021;Ohio;Juridique;Mobile;Samsung Galaxy;0,1;20;2;2
73;01/02/2021;Montana;Achats;VoIP;Cisco SPA 303;0,09;45;4,05;2
64;01/02/2021;North;Carolina;VoIP;Thomson st3030;0,12;65;7,8;4
36;01/02/2021;Vermont;Marketing;Fixe;Alcatel Versatis;0,09;25;2,25;7
53;01/02/2021;Indiana;Marketing;VoIP;Cisco SPA 303;0,09;10;0,9;2
6;01/02/2021;New;Hampshire;Mobile;Samsung Galaxy;0,12;5;0,6;9
82;01/02/2021;Wyoming;Production;Mobile;Apple iPhone;0,1;25;2,5;2
51;01/02/2021;Idaho;Achats;VoIP;Thomson st2030;0,11;30;3,3;7
43;01/02/2021;Oklahoma;SI;VoIP;Cisco SPA 303;0,11;45;4,95;4
83;01/02/2021;Provence-Alpes-Côte;d'Azur;VoIP;Thomson st2030;0,09;5;0,45;9
38;01/02/2021;Idaho;Finance;Mobile;LG G4;0,12;50;6;3
25;01/02/2021;Ohio;SI;Mobile;Samsung Galaxy;0,12;65;7,8;4
76;01/02/2021;Kentucky;Production;VoIP;Thomson st3030;0,1;60;6;6
98;01/02/2021;Nouveau-Brunswick;Direction;VoIP;Thomson st3030;0,11;10;1,1;4
13;01/02/2021;Manitoba;RH;VoIP;Thomson st2030;0,09;55;4,95;8
40;01/02/2021;Colorado;Achats;Fixe;Alcatel Versatis;0,1;20;2;7
42;01/02/2021;Centre-Val;de;Mobile;Apple iPhone;0,11;70;7,7;9
56;01/02/2021;Pays;de;VoIP;Cisco SPA 303;0,1;35;3,5;10
15;01/02/2021;Hauts-De-France;Production;VoIP;Cisco SPA 303;0,09;75;6,75;3
94;01/02/2021;Minnesota;Finance;VoIP;Cisco SPA 303;0,09;65;5,85;2
84;01/02/2021;Angleterre;Production;Mobile;Apple iPhone;0,09;70;6,3;8
49;01/02/2021;Bourgogne-Franche-Comté;Juridique;Fixe;Siemens Gigaset a400;0,11;25;2,75;5
73;01/02/2021;Manitoba;R&D;Fixe;Siemens Gigaset a400;0,11;25;2,75;7
5;01/02/2021;Ohio;Production;Mobile;Apple iPhone;0,11;55;6,05;8
77;01/02/2021;Normandie;Ventes;VoIP;Thomson st3030;0,11;55;6,05;4
39;01/02/2021;Missouri;Direction;Mobile;LG G4;0,12;20;2,4;5
53;01/02/2021;Territoires;du;Fixe;Logicom Nova 350;0,09;45;4,05;3
52;01/02/2021;Occitanie;Achats;VoIP;Thomson st3030;0,12;10;1,2;10
84;01/02/2021;Saskatchewan;Achats;Fixe;Alcatel Versatis;0,1;55;5,5;8
57;01/02/2021;Nouvelle-Aquitaine;Juridique;Fixe;Logicom Nova 350;0,11;30;3,3;5
14;01/02/2021;Georgia;Marketing;VoIP;Thomson st3030;0,12;45;5,4;6
77;01/02/2021;Grand;Est;Fixe;Siemens Gigaset a400;0,11;55;6,05;4
28;01/02/2021;Alabama;R&D;Fixe;Alcatel Versatis;0,12;55;6,6;10
64;01/02/2021;North;Carolina;Mobile;Apple iPhone;0,1;25;2,5;7
15;01/02/2021;Ohio;Juridique;Fixe;Logicom Nova 350;0,11;15;1,65;9
64;01/02/2021;Angleterre;Direction;Mobile;LG G4;0,09;65;5,85;4
15;01/02/2021;Occitanie;Juridique;Mobile;Samsung Galaxy;0,11;75;8,25;8
28;01/02/2021;Kentucky;Production;Mobile;Apple iPhone;0,12;20;2,4;7
39;01/02/2021;Tennessee;R&D;Fixe;Alcatel Versatis;0,1;25;2,5;3
15;01/02/2021;Hawaii;Production;Mobile;LG G4;0,1;60;6;2
84;01/02/2021;California;Ventes;VoIP;Thomson st3030;0,12;5;0,6;5
39;01/02/2021;Rhode;Island;Mobile;LG G4;0,1;45;4,5;10
45;01/02/2021;Arizona;R&D;Fixe;Logicom Nova 350;0,09;70;6,3;2
28;01/02/2021;Manitoba;SI;VoIP;Cisco SPA 303;0,09;50;4,5;3
85;01/02/2021;Connecticut;Direction;Mobile;Apple iPhone;0,12;65;7,8;2
6;01/02/2021;Texas;Juridique;Fixe;Alcatel Versatis;0,1;20;2;9
28;01/02/2021;Nouvelle-Écosse;Marketing;VoIP;Thomson st3030;0,09;25;2,25;3
85;01/02/2021;Auvergne-Rhône-Alpes;Achats;Fixe;Siemens Gigaset a400;0,12;35;4,2;8
34;01/02/2021;Iowa;SI;VoIP;Thomson st2030;0,12;45;5,4;2
44;01/02/2021;Hawaii;Marketing;Fixe;Logicom Nova 350;0,12;20;2,4;5
74;01/02/2021;Oklahoma;Ventes;VoIP;Thomson st2030;0,1;5;0,5;10
81;01/02/2021;Irlande;du;Fixe;Logicom Nova 350;0,11;75;8,25;9
82;01/02/2021;Nunavut;Juridique;VoIP;Thomson st3030;0,11;75;8,25;5
32;01/02/2021;Pays;de;VoIP;Thomson st3030;0,12;15;1,8;5
35;01/02/2021;Virginia;Finance;VoIP;Thomson st3030;0,09;55;4,95;3
53;01/02/2021;Vermont;Production;VoIP;Thomson st2030;0,1;70;7;4
76;01/02/2021;Montana;R&D;VoIP;Thomson st3030;0,09;5;0,45;8
54;01/02/2021;Wisconsin;SI;VoIP;Thomson st3030;0,11;55;6,05;6
31;01/02/2021;Alberta;Ventes;VoIP;Thomson st3030;0,12;65;7,8;9
19;01/02/2021;Michigan;RH;Fixe;Alcatel Versatis;0,09;45;4,05;4
82;01/02/2021;New;York;Mobile;Apple iPhone;0,09;40;3,6;5
14;01/02/2021;Rhode;Island;Fixe;Alcatel Versatis;0,09;15;1,35;9
18;01/02/2021;Occitanie;Ventes;Mobile;Apple iPhone;0,1;45;4,5;5
54;01/02/2021;Connecticut;Direction;Fixe;Alcatel Versatis;0,1;75;7,5;10
34;01/02/2021;Yukon;Ventes;Fixe;Siemens Gigaset a400;0,11;60;6,6;10
48;01/02/2021;Grand;Est;Mobile;LG G4;0,21;75;7,6;16
34;01/02/2021;Grand;Est;Mobile;LG G4;0,1;60;6;8
35;01/02/2021;Delaware;Finance;Fixe;Alcatel Versatis;0,12;20;2,4;3
56;01/02/2021;Territoires;du;Mobile;LG G4;0,09;45;4,05;9
59;01/02/2021;North;Dakota;Fixe;Alcatel Versatis;0,11;5;0,55;9
78;01/02/2021;California;SI;VoIP;Cisco SPA 303;0,11;10;1,1;3
31;01/02/2021;Alabama;Production;Mobile;Samsung Galaxy;0,1;75;7,5;4
17;01/02/2021;Massachusetts;Ventes;Mobile;LG G4;0,12;15;1,8;6
31;01/02/2021;Auvergne-Rhône-Alpes;SI;Mobile;Apple iPhone;0,12;40;4,8;5
74;01/02/2021;Saskatchewan;RH;VoIP;Thomson st2030;0,1;70;7;3
18;01/02/2021;Nouvelle-Aquitaine;R&D;VoIP;Cisco SPA 303;0,1;40;4;8
21;01/02/2021;North;Carolina;Fixe;Alcatel Versatis;0,1;35;3,5;7
45;01/02/2021;Indiana;Finance;VoIP;Cisco SPA 303;0,12;20;2,4;4
15;01/02/2021;Maryland;Direction;Mobile;Samsung Galaxy;0,1;10;1;3
87;01/02/2021;Île-du-Prince-Édouard;Direction;Fixe;Alcatel Versatis;0,09;35;3,15;9
12;01/02/2021;Washington;R&D;Mobile;Apple iPhone;0,09;45;4,05;4
38;01/02/2021;California;Direction;Mobile;Apple iPhone;0,11;35;3,85;5
16;01/02/2021;Île-de-France;Direction;Fixe;Siemens Gigaset a400;0,1;5;0,5;4
49;01/02/2021;Wisconsin;SI;Fixe;Siemens Gigaset a400;0,11;50;5,5;6
34;01/02/2021;Georgia;Marketing;Fixe;Logicom Nova 350;0,11;40;4,4;10
7;01/02/2021;Hawaii;Ventes;Mobile;Apple iPhone;0,1;65;6,5;10
17;01/02/2021;Centre-Val;de;Fixe;Siemens Gigaset a400;0,12;10;1,2;6
20;01/02/2021;Louisiana;Finance;Mobile;Apple iPhone;0,1;55;5,5;9
80;01/02/2021;Irlande;du;VoIP;Cisco SPA 303;0,11;20;2,2;8
34;01/02/2021;Kentucky;Achats;Fixe;Alcatel Versatis;0,1;65;6,5;7
35;01/02/2021;Oklahoma;SI;Mobile;LG G4;0,11;30;3,3;3
81;01/02/2021;Illinois;Direction;VoIP;Thomson st3030;0,12;15;1,8;3
75;01/02/2021;Auvergne-Rhône-Alpes;Marketing;Mobile;Apple iPhone;0,09;10;0,9;8
35;01/02/2021;West;Virginia;Fixe;Alcatel Versatis;0,11;55;6,05;6
84;01/02/2021;Hauts-De-France;Marketing;Fixe;Alcatel Versatis;0,12;60;7,2;6
112;01/02/2021;Nunavut;Ventes;Mobile;LG G4;0,11;20;2,2;7
118;01/02/2021;Nouvelle-Aquitaine;Ventes;Mobile;Samsung Galaxy;0,1;60;6;9
45;01/02/2021;Grand;Est;Mobile;Apple iPhone;0,11;10;1,1;2
35;01/02/2021;Arkansas;Achats;Fixe;Logicom Nova 350;0,09;55;4,95;3
21;01/02/2021;Nouvelle-Aquitaine;Juridique;Mobile;Apple iPhone;0,11;55;6,05;2
49;01/02/2021;Ontario;Juridique;VoIP;Cisco SPA 303;0,11;25;2,75;6
21;01/02/2021;Normandie;Finance;VoIP;Cisco SPA 303;0,12;45;5,4;4
85;01/02/2021;Grand;Est;VoIP;Cisco SPA 303;0,1;75;7,5;5
69;01/03/2021;Québec;RH;VoIP;Thomson st2030;0,09;50;4,5;4
28;01/03/2021;Écosse;Marketing;Fixe;Alcatel Versatis;0,1;70;7;8
72;01/03/2021;Ontario;Ventes;VoIP;Thomson st3030;0,12;60;7,2;7
76;01/03/2021;Wyoming;R&D;Mobile;Samsung Galaxy;0,1;45;4,5;3
44;01/03/2021;Bourgogne-Franche-Comté;Marketing;VoIP;Cisco SPA 303;0,12;55;6,6;6
15;01/03/2021;Maryland;Achats;Mobile;LG G4;0,12;20;2,4;4
53;01/03/2021;Nunavut;Juridique;Fixe;Alcatel Versatis;0,11;60;6,6;5
51;01/03/2021;Nouvelle-Aquitaine;R&D;Fixe;Logicom Nova 350;0,11;40;4,4;2
72;01/03/2021;Hauts-De-France;R&D;Fixe;Logicom Nova 350;0,12;5;0,6;7
11;01/03/2021;Arizona;R&D;Mobile;Apple iPhone;0,11;45;4,95;5
54;01/03/2021;Texas;Juridique;Mobile;Samsung Galaxy;0,12;75;9;7
41;01/03/2021;Colombie-Britannique;R&D;VoIP;Thomson st3030;0,12;30;3,6;8
30;01/03/2021;Grand;Est;Fixe;Siemens Gigaset a400;0,12;40;4,8;8
83;01/03/2021;Bourgogne-Franche-Comté;Ventes;VoIP;Cisco SPA 303;0,11;50;5,5;4
82;01/03/2021;Colorado;Production;VoIP;Cisco SPA 303;0,1;10;1;7
12;01/03/2021;Pays;de;VoIP;Thomson st2030;0,09;20;1,8;10
87;01/03/2021;Manitoba;Achats;Mobile;Samsung Galaxy;0,1;75;7,5;3
14;01/03/2021;Ohio;SI;Fixe;Logicom Nova 350;0,1;20;2;4
31;01/03/2021;Nevada;Production;Mobile;Samsung Galaxy;0,12;15;1,8;8
93;01/03/2021;Grand;Est;Fixe;Alcatel Versatis;0,12;20;2,4;7
30;01/03/2021;Nunavut;SI;Fixe;Logicom Nova 350;0,09;55;4,95;8
49;01/03/2021;Vermont;Finance;VoIP;Thomson st3030;0,11;15;1,65;3
93;01/03/2021;Washington;Juridique;VoIP;Thomson st2030;0,09;20;1,8;8
19;01/03/2021;Rhode;Island;Fixe;Siemens Gigaset a400;0,12;15;1,8;2
34;01/03/2021;Nouvelle-Aquitaine;Production;VoIP;Thomson st3030;0,11;15;1,65;10
83;01/03/2021;Indiana;Direction;Fixe;Siemens Gigaset a400;0,11;30;3,3;8
85;01/03/2021;Arkansas;Juridique;Fixe;Alcatel Versatis;0,09;35;3,15;4
12;01/03/2021;Wyoming;RH;Mobile;Apple iPhone;0,11;55;6,05;8
84;01/03/2021;Île-de-France;Juridique;Mobile;LG G4;0,1;50;5;4
91;01/03/2021;Alberta;Juridique;VoIP;Cisco SPA 303;0,12;40;4,8;10
19;01/03/2021;Pennsylvania;Achats;Mobile;Samsung Galaxy;0,11;15;1,65;2
53;01/03/2021;Connecticut;Achats;VoIP;Thomson st3030;0,09;40;3,6;3
57;01/03/2021;Centre-Val;de;Fixe;Logicom Nova 350;0,09;25;2,25;4
3;01/03/2021;Hawaii;RH;Fixe;Logicom Nova 350;0,11;50;5,5;9
24;01/03/2021;Arkansas;SI;Mobile;Apple iPhone;0,11;50;5,5;8
98;01/03/2021;Kansas;Juridique;Mobile;LG G4;0,11;65;7,15;5
87;01/03/2021;Oklahoma;Finance;Fixe;Siemens Gigaset a400;0,11;5;0,55;6
15;01/03/2021;Mississippi;Ventes;Mobile;Apple iPhone;0,1;10;1;2
19;01/03/2021;Grand;Est;Mobile;Apple iPhone;0,11;75;8,25;2
50;01/03/2021;Missouri;Juridique;Fixe;Logicom Nova 350;0,12;40;4,8;2
45;01/03/2021;Nouvelle-Aquitaine;Production;Mobile;LG G4;0,12;15;1,8;3
13;01/03/2021;Oklahoma;Direction;Fixe;Logicom Nova 350;0,11;25;2,75;2
51;01/03/2021;Pays;de;VoIP;Cisco SPA 303;0,09;50;4,5;7
54;01/03/2021;Nouveau-Brunswick;Marketing;VoIP;Cisco SPA 303;0,09;20;1,8;10
64;01/03/2021;Illinois;R&D;VoIP;Thomson st3030;0,12;30;3,6;6
54;01/03/2021;Nouvelle-Aquitaine;Direction;Fixe;Logicom Nova 350;0,1;35;3,5;8
3;01/03/2021;Corse;Marketing;Fixe;Logicom Nova 350;0,1;35;3,5;9
34;01/03/2021;Occitanie;Achats;Mobile;LG G4;0,12;55;6,6;8
15;01/03/2021;Missouri;Achats;Mobile;LG G4;0,1;55;5,5;4
15;01/03/2021;Illinois;Production;Fixe;Siemens Gigaset a400;0,11;30;3,3;10
15;01/03/2021;South;Carolina;VoIP;Thomson st2030;0,12;70;8,4;4
19;01/03/2021;Vermont;SI;Fixe;Logicom Nova 350;0,1;5;0,5;3
19;01/03/2021;Nouvelle-Aquitaine;RH;VoIP;Thomson st2030;0,1;35;3,5;8
39;01/03/2021;Saskatchewan;Production;VoIP;Thomson st2030;0,09;45;4,05;3
42;01/03/2021;Nebraska;Finance;Fixe;Logicom Nova 350;0,11;25;2,75;10
48;01/03/2021;Hawaii;R&D;VoIP;Thomson st2030;0,09;70;6,3;6
56;01/03/2021;Iowa;Finance;Fixe;Alcatel Versatis;0,1;20;2;5
36;01/03/2021;Alaska;SI;Fixe;Siemens Gigaset a400;0,09;20;1,8;10
75;01/03/2021;Kansas;Finance;Fixe;Siemens Gigaset a400;0,11;75;8,25;2
53;01/03/2021;Nunavut;R&D;VoIP;Thomson st2030;0,09;60;5,4;8
57;01/03/2021;Nouveau-Brunswick;Achats;Mobile;Samsung Galaxy;0,11;55;6,05;7
34;01/03/2021;Provence-Alpes-Côte;d'Azur;Mobile;LG G4;0,11;60;6,6;8
21;01/03/2021;New;Mexico;Mobile;Samsung Galaxy;0,12;70;8,4;2
77;01/03/2021;South;Carolina;VoIP;Thomson st2030;0,11;70;7,7;3
79;01/03/2021;Washington;R&D;Fixe;Alcatel Versatis;0,11;65;7,15;7
18;01/03/2021;Louisiana;Juridique;VoIP;Thomson st3030;0,1;25;2,5;8
49;01/03/2021;West;Virginia;Mobile;LG G4;0,09;30;2,7;9
18;01/03/2021;Michigan;Ventes;Mobile;Apple iPhone;0,11;10;1,1;4
56;01/03/2021;Utah;Ventes;Mobile;Samsung Galaxy;0,1;50;5;2
81;01/03/2021;Louisiana;Production;VoIP;Cisco SPA 303;0,12;70;8,4;3
55;01/03/2021;Alberta;Direction;Mobile;LG G4;0,11;50;5,5;3
73;01/03/2021;Grand;Est;Mobile;Samsung Galaxy;0,12;50;6;4
17;01/03/2021;Nunavut;SI;Mobile;Apple iPhone;0,12;25;3;7
18;01/03/2021;Nouvelle-Aquitaine;SI;Mobile;Apple iPhone;0,11;65;7,15;10
81;01/03/2021;Angleterre;Achats;Fixe;Logicom Nova 350;0,11;65;7,15;4
77;01/03/2021;Hawaii;Direction;Fixe;Logicom Nova 350;0,11;60;6,6;3
80;01/03/2021;Missouri;SI;Fixe;Alcatel Versatis;0,12;70;8,4;2
48;01/03/2021;South;Dakota;Fixe;Logicom Nova 350;0,1;30;3;10
73;01/03/2021;Oregon;Direction;Fixe;Siemens Gigaset a400;0,11;20;2,2;5
82;01/03/2021;Alaska;Ventes;Mobile;Samsung Galaxy;0,1;45;4,5;5
77;01/03/2021;South;Carolina;Fixe;Siemens Gigaset a400;0,1;25;2,5;6
73;01/03/2021;Ohio;Direction;Mobile;LG G4;0,11;55;6,05;6
75;01/03/2021;Iowa;Juridique;Mobile;Apple iPhone;0,12;5;0,6;6
72;01/03/2021;Michigan;R&D;Mobile;Apple iPhone;0,11;40;4,4;2
56;01/03/2021;Delaware;Marketing;Fixe;Logicom Nova 350;0,12;25;3;2
8;01/03/2021;Minnesota;RH;Mobile;Samsung Galaxy;0,1;70;7;2
77;01/03/2021;Ontario;Ventes;VoIP;Cisco SPA 303;0,09;30;2,7;2
77;01/03/2021;Maryland;Direction;Mobile;LG G4;0,11;60;6,6;3
19;01/03/2021;Nunavut;Direction;Mobile;LG G4;0,12;35;4,2;6
35;01/03/2021;Georgia;Finance;Fixe;Logicom Nova 350;0,12;65;7,8;5
